original_depth,original,DeMorgan,DeMorgan+MultiI,DNF,diff,DNF+diff,DNF+MultiIU,DNF+MultiIUD,DNF+MultiIUd,formula_id,num_anchor_nodes
2,"(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))",type0014,2
3,"(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))","(i,(p,(e)),(p,(p,(p,(e)))))",type0015,2
1,"(i,(n,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(d,(p,(e)),(p,(e)))","(d,(p,(e)),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(D,(p,(e)),(p,(e)))","(D,(p,(e)),(p,(e)))",type0016,2
2,"(i,(n,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(p,(e)))),(p,(e)))","(d,(p,(e)),(p,(p,(e))))","(d,(p,(e)),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(e)))","(D,(p,(e)),(p,(p,(e))))","(D,(p,(e)),(p,(p,(e))))",type0017,2
2,"(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))","(i,(p,(p,(e))),(p,(p,(e))))",type0019,2
3,"(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))","(i,(p,(p,(e))),(p,(p,(p,(e)))))",type0020,2
2,"(i,(n,(p,(e))),(p,(p,(e))))","(i,(n,(p,(e))),(p,(p,(e))))","(i,(n,(p,(e))),(p,(p,(e))))","(i,(n,(p,(e))),(p,(p,(e))))","(d,(p,(p,(e))),(p,(e)))","(d,(p,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(p,(e))))","(D,(p,(p,(e))),(p,(e)))","(D,(p,(p,(e))),(p,(e)))",type0021,2
2,"(i,(n,(p,(p,(e)))),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(p,(e))))","(d,(p,(p,(e))),(p,(p,(e))))","(d,(p,(p,(e))),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(p,(e))))","(D,(p,(p,(e))),(p,(p,(e))))","(D,(p,(p,(e))),(p,(p,(e))))",type0022,2
3,"(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(p,(p,(p,(e)))),(p,(p,(p,(e)))))",type0025,2
3,"(i,(n,(p,(e))),(p,(p,(p,(e)))))","(i,(n,(p,(e))),(p,(p,(p,(e)))))","(i,(n,(p,(e))),(p,(p,(p,(e)))))","(i,(n,(p,(e))),(p,(p,(p,(e)))))","(d,(p,(p,(p,(e)))),(p,(e)))","(d,(p,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(e))),(p,(p,(p,(e)))))","(D,(p,(p,(p,(e)))),(p,(e)))","(D,(p,(p,(p,(e)))),(p,(e)))",type0026,2
3,"(i,(n,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(n,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(n,(p,(p,(e)))),(p,(p,(p,(e)))))","(i,(n,(p,(p,(e)))),(p,(p,(p,(e)))))","(d,(p,(p,(p,(e)))),(p,(p,(e))))","(d,(p,(p,(p,(e)))),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(p,(p,(e)))))","(D,(p,(p,(p,(e)))),(p,(p,(e))))","(D,(p,(p,(p,(e)))),(p,(p,(e))))",type0027,2
1,"(u,(p,(e)),(p,(e)))","(n,(i,(n,(p,(e))),(n,(p,(e)))))","(n,(i,(n,(p,(e))),(n,(p,(e)))))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))",type0028,2
2,"(u,(p,(e)),(p,(p,(e))))","(n,(i,(n,(p,(e))),(n,(p,(p,(e))))))","(n,(i,(n,(p,(e))),(n,(p,(p,(e))))))","(u,(p,(e)),(p,(p,(e))))","(u,(p,(e)),(p,(p,(e))))","(u,(p,(e)),(p,(p,(e))))","(u,(p,(e)),(p,(p,(e))))","(u,(p,(e)),(p,(p,(e))))","(u,(p,(e)),(p,(p,(e))))",type0029,2
3,"(u,(p,(e)),(p,(p,(p,(e)))))","(n,(i,(n,(p,(e))),(n,(p,(p,(p,(e)))))))","(n,(i,(n,(p,(e))),(n,(p,(p,(p,(e)))))))","(u,(p,(e)),(p,(p,(p,(e)))))","(u,(p,(e)),(p,(p,(p,(e)))))","(u,(p,(e)),(p,(p,(p,(e)))))","(u,(p,(e)),(p,(p,(p,(e)))))","(u,(p,(e)),(p,(p,(p,(e)))))","(u,(p,(e)),(p,(p,(p,(e)))))",type0030,2
2,"(u,(p,(p,(e))),(p,(p,(e))))","(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e))))))","(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e))))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))",type0032,2
3,"(u,(p,(p,(e))),(p,(p,(p,(e)))))","(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(p,(e)))))))","(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(p,(e)))))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))","(u,(p,(p,(e))),(p,(p,(p,(e)))))",type0033,2
3,"(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(n,(i,(n,(p,(p,(p,(e))))),(n,(p,(p,(p,(e)))))))","(n,(i,(n,(p,(p,(p,(e))))),(n,(p,(p,(p,(e)))))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))","(u,(p,(p,(p,(e)))),(p,(p,(p,(e)))))",type0036,2
2,"(p,(i,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(I,(p,(e)),(p,(e)),(p,(e))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(I,(p,(e)),(p,(e)),(p,(e))))","(p,(I,(p,(e)),(p,(e)),(p,(e))))","(p,(I,(p,(e)),(p,(e)),(p,(e))))",type0037,3
3,"(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))",type0038,3
2,"(p,(i,(i,(n,(p,(e))),(p,(e))),(p,(e))))","(p,(i,(i,(n,(p,(e))),(p,(e))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(e))))","(p,(i,(i,(n,(p,(e))),(p,(e))),(p,(e))))","(p,(i,(d,(p,(e)),(p,(e))),(p,(e))))","(p,(i,(d,(p,(e)),(p,(e))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(e))))","(p,(D,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(D,(i,(p,(e)),(p,(e))),(p,(e))))",type0039,3
3,"(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))",type0041,3
3,"(p,(i,(i,(n,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(i,(i,(n,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(p,(e)))))","(p,(i,(i,(n,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(i,(d,(p,(p,(e))),(p,(e))),(p,(e))))","(p,(i,(d,(p,(p,(e))),(p,(e))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(p,(e)))))","(p,(D,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(D,(i,(p,(e)),(p,(p,(e)))),(p,(e))))",type0042,3
2,"(p,(i,(p,(e)),(u,(p,(e)),(p,(e)))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(e))))),(p,(e))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(e))))),(p,(e))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(e)))))","(p,(i,(p,(e)),(u,(p,(e)),(p,(e)))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(e)))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(e)))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(e)))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(e)))))",type0043,3
3,"(p,(i,(p,(e)),(u,(p,(e)),(p,(p,(e))))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(p,(e)))))),(p,(e))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(p,(e)))))),(p,(e))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(p,(e))))))","(p,(i,(p,(e)),(u,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(e)))),(p,(i,(p,(e)),(p,(p,(e))))))",type0044,3
3,"(p,(i,(p,(e)),(u,(p,(p,(e))),(p,(p,(e))))))","(p,(i,(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e)))))),(p,(e))))","(p,(i,(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e)))))),(p,(e))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(p,(i,(p,(e)),(u,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))",type0046,3
3,"(p,(i,(i,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(e)),(p,(p,(e)))))",type0047,3
3,"(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))","(p,(I,(p,(e)),(p,(p,(e))),(p,(p,(e)))))",type0048,3
3,"(p,(i,(i,(n,(p,(e))),(p,(e))),(p,(p,(e)))))","(p,(i,(i,(n,(p,(e))),(p,(e))),(p,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(p,(e)))))","(p,(i,(i,(n,(p,(e))),(p,(e))),(p,(p,(e)))))","(p,(i,(d,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(i,(d,(p,(e)),(p,(e))),(p,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(p,(e)))))","(p,(D,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(D,(i,(p,(e)),(p,(p,(e)))),(p,(e))))",type0049,3
3,"(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(I,(p,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(I,(p,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(I,(p,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(I,(p,(p,(e))),(p,(p,(e))),(p,(p,(e)))))",type0051,3
3,"(p,(i,(i,(n,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(i,(n,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(i,(i,(n,(p,(e))),(p,(p,(e)))),(p,(p,(e)))))","(p,(i,(d,(p,(p,(e))),(p,(e))),(p,(p,(e)))))","(p,(i,(d,(p,(p,(e))),(p,(e))),(p,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(D,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(D,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))",type0052,3
3,"(p,(i,(p,(p,(e))),(u,(p,(e)),(p,(e)))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(e))))),(p,(p,(e)))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(e))))),(p,(p,(e)))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(p,(i,(p,(p,(e))),(u,(p,(e)),(p,(e)))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(e)),(p,(p,(e))))))",type0053,3
3,"(p,(i,(p,(p,(e))),(u,(p,(e)),(p,(p,(e))))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(p,(e)))))),(p,(p,(e)))))","(p,(i,(n,(i,(n,(p,(e))),(n,(p,(p,(e)))))),(p,(p,(e)))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(p,(i,(p,(p,(e))),(u,(p,(e)),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(e)),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))",type0054,3
3,"(p,(i,(p,(p,(e))),(u,(p,(p,(e))),(p,(p,(e))))))","(p,(i,(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e)))))),(p,(p,(e)))))","(p,(i,(n,(i,(n,(p,(p,(e)))),(n,(p,(p,(e)))))),(p,(p,(e)))))","(u,(p,(i,(p,(p,(e))),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(p,(i,(p,(p,(e))),(u,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(p,(e))),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(p,(e))),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(p,(e))),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))","(u,(p,(i,(p,(p,(e))),(p,(p,(e))))),(p,(i,(p,(p,(e))),(p,(p,(e))))))",type0056,3
2,"(p,(i,(i,(p,(e)),(p,(e))),(n,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(e))),(n,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(e))))","(p,(i,(i,(p,(e)),(p,(e))),(n,(p,(e)))))","(p,(d,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(d,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(e))))","(p,(D,(i,(p,(e)),(p,(e))),(p,(e))))","(p,(D,(i,(p,(e)),(p,(e))),(p,(e))))",type0059,3
3,"(p,(i,(i,(p,(e)),(p,(p,(e)))),(n,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(n,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(p,(e)))))","(p,(i,(i,(p,(e)),(p,(p,(e)))),(n,(p,(e)))))","(p,(d,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(d,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(e)),(p,(p,(e)))))","(p,(D,(i,(p,(e)),(p,(p,(e)))),(p,(e))))","(p,(D,(i,(p,(e)),(p,(p,(e)))),(p,(e))))",type0062,3
2,"(p,(i,(i,(n,(p,(e))),(p,(e))),(n,(p,(e)))))","(p,(i,(i,(n,(p,(e))),(p,(e))),(n,(p,(e)))))","(p,(I,(n,(p,(e))),(n,(p,(e))),(p,(e))))","(p,(i,(i,(n,(p,(e))),(p,(e))),(n,(p,(e)))))","(p,(d,(d,(p,(e)),(p,(e))),(p,(e))))","(p,(d,(d,(p,(e)),(p,(e))),(p,(e))))","(p,(I,(n,(p,(e))),(n,(p,(e))),(p,(e))))","(p,(D,(p,(e)),(p,(e)),(p,(e))))","(p,(D,(D,(p,(e)),(p,(e))),(p,(e))))",type0065,3
3,"(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(n,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(n,(p,(e)))))","(p,(I,(n,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(i,(i,(p,(p,(e))),(p,(p,(e)))),(n,(p,(e)))))","(p,(d,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(d,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(I,(n,(p,(e))),(p,(p,(e))),(p,(p,(e)))))","(p,(D,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))","(p,(D,(i,(p,(p,(e))),(p,(p,(e)))),(p,(e))))",type0071,3
